Position 1,Position 2,Position 3,Position 4,Position 5,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
D. McDermott , J. Champagnie , M. Branham , D. Barlow , V. Wembanyama,1,2.3,12,3,3,100,1,1,100,5,5,100,0,1,1,3,0,1,1,0,0,4,6
D. McDermott , Z. Collins , D. Vassell , J. Champagnie , J. Sochan,1,2.3,3,1,4,25,1,2,50,0,0,0,1,2,3,0,0,0,1,0,1,0,-1
D. Vassell , S. Mamukelashvili , J. Champagnie , M. Branham , J. Sochan,1,2.3,4,1,4,25,1,1,100,1,2,50,0,0,0,1,2,0,0,3,0,1,-7
Z. Collins , K. Johnson , T. Jones , M. Branham , V. Wembanyama,3,2.3,6.7,3,5,60,0.7,1.3,50,0,0.3,0,0.3,2.3,2.7,1.3,0.3,0,0,0,1,1,1
C. Osman , D. Vassell , T. Jones , J. Champagnie , V. Wembanyama,4,2.2,5,2,4.8,42.1,0.5,2.3,22.2,0.5,0.8,66.7,0.8,1.8,2.5,1.5,1.8,0.5,0.5,0.5,0.5,1,-0.8
C. Osman , K. Johnson , D. Vassell , S. Mamukelashvili , M. Branham,1,2.2,5,2,3,66.7,1,2,50,0,0,0,0,2,2,2,1,1,1,0,1,1,3
C. Osman , K. Johnson , D. Vassell , T. Jones , V. Wembanyama,9,2.2,5.4,1.9,4.2,44.7,0.3,1.8,18.8,1.3,1.7,80,0.4,1.7,2.1,1.3,0.6,0.2,0.7,0.3,1.1,1.7,0.9
C. Osman , K. Johnson , T. Jones , S. Mamukelashvili , J. Sochan,1,2.2,4,2,4,50,0,0,0,0,0,0,0,4,4,1,1,0,0,2,1,0,0
C. Osman , Z. Collins , D. Graham , S. Mamukelashvili , B. Wesley,1,2.2,8,3,4,75,1,2,50,1,1,100,0,1,1,2,1,0,1,0,0,1,1
C. Osman , Z. Collins , K. Johnson , D. Vassell , J. Sochan,9,2.2,4.9,1.9,3.8,50,0.4,1.3,33.3,0.7,0.7,100,0.3,1.1,1.4,1.3,1.1,0.3,0.1,0,1,0.6,-0.7
D. McDermott , C. Osman , C. Bassey , T. Jones , M. Branham,3,2.2,6,2.7,5.3,50,0.7,1.7,40,0,0,0,0.3,0.7,1,1.7,0.3,0.3,0,0.7,0.7,1.3,-2.3
D. McDermott , C. Osman , K. Johnson , B. Wesley , V. Wembanyama,5,2.2,3.8,1.4,4,35,0.2,1.6,12.5,0.8,1,80,0.4,1.4,1.8,1,0.8,0,0,0.2,0.6,1,-1
D. McDermott , C. Osman , Z. Collins , K. Johnson , J. Sochan,5,2.2,5.4,2,4.8,41.7,1.2,2,60,0.2,0.4,50,0.6,1.2,1.8,1,0.4,0.4,0,0.4,1.6,0.4,-1.4
D. McDermott , D. Vassell , B. Wesley , J. Sochan , V. Wembanyama,4,2.2,3.5,1.3,3.3,38.5,0.3,0.5,50,0.8,1,75,0,1.8,1.8,0.8,1,0,0.3,0,1,0.8,-2.3
D. McDermott , D. Vassell , M. Branham , J. Sochan , V. Wembanyama,2,2.2,4,2,7,28.6,0,1.5,0,0,0,0,2,1.5,3.5,1.5,0.5,0,0,1.5,0.5,0.5,-0.5
D. McDermott , D. Vassell , T. Jones , J. Sochan , D. Barlow,4,2.2,6.5,2.3,3.8,60,1,1.3,80,1,1,100,0.3,1.8,2,1.8,0,0,0,0,0.3,0.5,1.3
D. McDermott , K. Johnson , M. Branham , J. Sochan , D. Barlow,2,2.2,5,1.5,4,37.5,0,0.5,0,2,3,66.7,0.5,4,4.5,0.5,0.5,0.5,0,0.5,1,1.5,1
D. McDermott , T. Jones , B. Wesley , J. Sochan , V. Wembanyama,1,2.2,9,4,4,100,1,1,100,0,0,0,0,1,1,3,0,0,0,0,1,0,5
D. McDermott , Z. Collins , D. Vassell , T. Jones , J. Sochan,3,2.2,4,1.3,4.3,30.8,0.3,2.3,14.3,1,1.3,75,0.7,1.3,2,1,0,0.3,0,0.3,0.7,0.3,-0.3
D. Vassell , J. Champagnie , M. Branham , J. Sochan , D. Barlow,5,2.2,5,2,5,40,0.6,2.2,27.3,0.4,0.4,100,0.4,1,1.4,1.4,0.4,0.8,0,0.2,1,0.4,-1
K. Johnson , D. Vassell , T. Jones , M. Branham , J. Sochan,4,2.2,5.5,2,3.3,61.5,1,1.8,57.1,0.5,0.5,100,0,1,1,2,0.8,0.8,0.3,0.3,1.8,0.3,-1
Z. Collins , D. Vassell , T. Jones , J. Champagnie , M. Branham,1,2.2,6,3,4,75,0,1,0,0,0,0,1,3,4,3,1,0,0,0,0,2,2
Z. Collins , T. Jones , S. Mamukelashvili , M. Branham , J. Sochan,1,2.2,4,2,5,40,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,-3
C. Osman , K. Johnson , C. Bassey , T. Jones , M. Branham,7,2.1,3.9,1.6,4.9,32.4,0.6,2.3,25,0.1,0.3,50,0.7,1.4,2.1,1.3,0.3,0.6,0.1,0.1,1,0.3,-1.6
C. Osman , Z. Collins , D. Vassell , M. Branham , B. Wesley,1,2.1,2,1,4,25,0,1,0,0,2,0,0,3,3,0,0,0,0,1,1,1,-2
C. Osman , Z. Collins , J. Champagnie , M. Branham , J. Sochan,1,2.1,4,2,4,50,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
C. Osman , Z. Collins , K. Johnson , D. Vassell , T. Jones,15,2.1,5.2,2,4.4,45.5,0.5,1.6,29.2,0.7,1.1,68.8,0.9,1.5,2.4,1.5,0.7,0.3,0.1,0.3,0.7,0.7,-0.1
C. Osman , Z. Collins , T. Jones , M. Branham , J. Sochan,1,2.1,7,3,3,100,1,1,100,0,0,0,0,1,1,2,1,1,0,0,1,0,2
C. Osman , Z. Collins , T. Jones , M. Branham , V. Wembanyama,1,2.1,7,3,5,60,1,3,33.3,0,0,0,0,2,2,1,0,0,0,0,1,1,3
D. Graham , S. Mamukelashvili , J. Champagnie , M. Branham , B. Wesley,2,2.1,6.5,2.5,4.5,55.6,1.5,3.5,42.9,0,0,0,0,1,1,1.5,0.5,0,0,0,0,0,1.5
D. McDermott , C. Osman , K. Johnson , J. Sochan , V. Wembanyama,2,2.1,0,0,4.5,0,0,1.5,0,0,0,0,0.5,0.5,1,0,0.5,0.5,0,1,0.5,0.5,-6.5
D. McDermott , Z. Collins , S. Mamukelashvili , J. Champagnie , J. Sochan,1,2.1,8,3,5,60,2,3,66.7,0,0,0,1,3,4,3,2,3,0,0,0,0,8
K. Johnson , D. Vassell , B. Wesley , J. Sochan , V. Wembanyama,6,2.1,3.2,1.2,3.7,31.8,0.3,1.5,22.2,0.5,0.5,100,0.2,2,2.2,1.2,0.5,0.2,0,0.5,0.8,0.3,-2.2
K. Johnson , T. Jones , M. Branham , J. Sochan , D. Barlow,1,2.1,4,2,6,33.3,0,3,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0
Z. Collins , K. Johnson , D. Vassell , J. Champagnie , J. Sochan,2,2.1,2.5,1,4,25,0,1.5,0,0.5,1,50,0,1.5,1.5,0.5,0,0,0,0,0,1.5,-3.5
Z. Collins , K. Johnson , T. Jones , M. Branham , J. Sochan,7,2.1,6.4,2.3,4.4,51.6,0.7,1.4,50,1.1,1.4,80,0.4,0.9,1.3,1.4,0,0.1,0.3,0.3,0.6,1,0.4
C. Osman , D. Vassell , J. Champagnie , B. Wesley , D. Barlow,1,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,-8
C. Osman , K. Johnson , C. Bassey , M. Branham , J. Sochan,2,2,3,1.5,5.5,27.3,0,2,0,0,0,0,0.5,1,1.5,1,0,0.5,0.5,1,1,0,-1.5
C. Osman , K. Johnson , D. Vassell , T. Jones , D. Barlow,8,2,5.5,2.1,4.4,48.6,0.9,1.8,50,0.4,0.5,75,0.5,1.1,1.6,1.3,0.3,0.4,0,0.1,0.6,1,-0.5
C. Osman , K. Johnson , D. Vassell , T. Jones , S. Mamukelashvili,1,2,3,1,3,33.3,0,2,0,1,1,100,0,1,1,1,1,0,0,0,1,1,-6
C. Osman , K. Johnson , T. Jones , J. Sochan , V. Wembanyama,4,2,4.3,1.5,3.3,46.2,0.5,1.3,40,0.8,1,75,0.3,0.5,0.8,0.5,0.3,0,0.3,0.3,0.3,0.5,-2
C. Osman , Z. Collins , D. Vassell , T. Jones , S. Mamukelashvili,2,2,4,1,4.5,22.2,0,3,0,2,2,100,0.5,1,1.5,0.5,1,0.5,0,0.5,1,1.5,-1.5
C. Osman , Z. Collins , K. Johnson , J. Champagnie , J. Sochan,4,2,5.5,2,3.3,61.5,1,1.8,57.1,0.5,0.8,66.7,0,0.8,0.8,2,0.5,0.3,0,0,1.5,1,0.3
C. Osman , Z. Collins , K. Johnson , M. Branham , J. Sochan,6,2,4.5,1.8,4,45.8,0.5,1,50,0.3,0.3,100,0.3,1.7,2,0.8,0.3,0,0.3,0,0.7,0.3,0
D. McDermott , C. Osman , K. Johnson , T. Jones , D. Barlow,3,2,6,2.7,4,66.7,0.3,0.7,50,0.3,0.3,100,0,2,2,1.3,0.7,0,0,0.3,1,1,0
D. McDermott , C. Osman , Z. Collins , T. Jones , J. Sochan,1,2,2,1,4,25,0,1,0,0,0,0,0,3,3,1,1,0,0,0,2,0,-4
D. McDermott , D. Graham , K. Johnson , D. Vassell , V. Wembanyama,1,2,2,1,4,25,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,-7
D. McDermott , D. Vassell , J. Champagnie , M. Branham , V. Wembanyama,1,2,8,3,4,75,2,2,100,0,0,0,0,0,0,3,0,0,1,0,0,1,1
D. McDermott , D. Vassell , T. Jones , D. Barlow , V. Wembanyama,1,2,6,2,3,66.7,0,1,0,2,2,100,0,3,3,1,1,1,1,0,0,1,6
D. McDermott , K. Johnson , D. Vassell , T. Jones , V. Wembanyama,8,2,4.8,1.9,4.6,40.5,0.3,1.4,18.2,0.8,1,75,0.6,1.6,2.3,1.4,0.3,0.4,0.3,0.1,1,1.5,-0.3
D. McDermott , K. Johnson , J. Champagnie , B. Wesley , J. Sochan,1,2,5,2,5,40,0,1,0,1,1,100,1,1,2,0,0,0,1,0,1,1,1
D. McDermott , K. Johnson , T. Jones , J. Champagnie , V. Wembanyama,3,2,3.3,1.3,3.7,36.4,0.3,1,33.3,0.3,1.3,25,0.3,2.7,3,0.3,0.7,0.3,0.7,0.3,0.7,1.3,0.3
D. McDermott , K. Johnson , T. Jones , J. Sochan , V. Wembanyama,5,2,5.8,2,4,50,0.2,1,20,1.6,1.6,100,0.6,1.6,2.2,1.6,0.4,0.2,0.2,0,0.4,1.4,1.6
D. McDermott , Z. Collins , D. Vassell , J. Champagnie , M. Branham,1,2,6,3,3,100,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,-2
D. McDermott , Z. Collins , J. Champagnie , M. Branham , J. Sochan,1,2,2,1,3,33.3,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,-6
D. McDermott , Z. Collins , K. Johnson , M. Branham , J. Sochan,11,2,5.8,2.2,3.6,60,0.8,1.5,52.9,0.6,1.1,58.3,0.2,1.2,1.4,1.6,0.5,0.2,0.2,0.3,0.5,1.1,0.1
D. McDermott , Z. Collins , M. Branham , J. Sochan , V. Wembanyama,6,2,4,1.7,3.3,50,0.5,1.5,33.3,0.2,0.3,50,0.7,1,1.7,0.8,0.8,0,0.7,0.2,0.5,0.5,-2.3
K. Johnson , D. Vassell , T. Jones , J. Sochan , D. Barlow,12,2,5.1,1.8,3.8,47.8,0.3,1.3,25,1.1,1.3,81.3,0.6,1.1,1.7,1.1,0.4,0.3,0.1,0.3,0.7,0.8,0.1
K. Johnson , T. Jones , M. Branham , J. Sochan , V. Wembanyama,8,2,3,1.3,3.8,33.3,0.3,1.4,18.2,0.3,0.4,66.7,0.5,1.3,1.8,0.8,0.9,0.3,0.4,0.1,0.9,0.5,-2.5
Z. Collins , D. Vassell , T. Jones , M. Branham , V. Wembanyama,1,2,7,3,3,100,0,0,0,1,1,100,0,1,1,2,1,1,1,0,0,1,3
Z. Collins , K. Johnson , D. Vassell , T. Jones , J. Champagnie,5,2,5.4,2.4,4.4,54.5,0.6,1.8,33.3,0,0.2,0,0.2,1.4,1.6,2,0.6,0.6,0,0.4,1,0.2,0.6
C. Osman , C. Bassey , D. Vassell , T. Jones , M. Branham,3,1.9,5.3,2,3.7,54.5,0.7,1.3,50,0.7,0.7,100,0.3,1.3,1.7,1,1,0.3,0.3,0,1.3,1.3,1
C. Osman , D. Graham , C. Bassey , D. Vassell , M. Branham,1,1.9,3,1,3,33.3,0,1,0,1,2,50,0,0,0,1,1,1,0,1,1,1,-8
C. Osman , K. Johnson , C. Bassey , T. Jones , J. Sochan,1,1.9,6,2,5,40,2,3,66.7,0,0,0,1,2,3,2,0,0,0,0,0,0,4
C. Osman , K. Johnson , T. Jones , J. Champagnie , V. Wembanyama,2,1.9,4,1,3,33.3,0.5,1.5,33.3,1.5,2,75,0,2,2,0.5,0.5,0.5,1,0.5,0.5,1,-1
C. Osman , K. Johnson , T. Jones , S. Mamukelashvili , B. Wesley,1,1.9,4,2,4,50,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2
C. Osman , Z. Collins , K. Johnson , D. Vassell , M. Branham,10,1.9,3.6,1.3,3.6,36.1,0.4,1.3,30.8,0.6,0.6,100,0.2,1,1.2,1.1,0.6,0.2,0.2,0,1.1,0.6,-2.1
C. Osman , Z. Collins , K. Johnson , J. Champagnie , M. Branham,1,1.9,8,2,4,50,0,2,0,4,5,80,0,0,0,1,0,1,0,0,0,3,3
D. McDermott , C. Osman , C. Bassey , J. Sochan , V. Wembanyama,1,1.9,5,1,3,33.3,1,1,100,2,4,50,1,1,2,1,0,0,0,1,0,2,-1
D. McDermott , C. Osman , K. Johnson , C. Bassey , J. Sochan,1,1.9,4,1,3,33.3,0,0,0,2,2,100,0,1,1,1,0,1,1,0,1,1,-1
D. McDermott , K. Johnson , D. Vassell , B. Wesley , V. Wembanyama,2,1.9,4,1.5,2.5,60,0,0.5,0,1,2,50,0,0.5,0.5,1,0,0.5,0,0,0,1,-0.5
D. McDermott , K. Johnson , D. Vassell , J. Champagnie , J. Sochan,1,1.9,3,0,2,0,0,2,0,3,4,75,0,1,1,0,0,0,0,0,2,3,-2
D. McDermott , S. Mamukelashvili , J. Champagnie , M. Branham , V. Wembanyama,2,1.9,4,1.5,3.5,42.9,1,2.5,40,0,0,0,0,1,1,1,0.5,0,1,0,0.5,1,-2
D. Vassell , T. Jones , M. Branham , J. Sochan , D. Barlow,1,1.9,3,0,2,0,0,1,0,3,4,75,0,1,1,0,0,0,0,0,1,2,-5
K. Johnson , D. Vassell , S. Mamukelashvili , M. Branham , J. Sochan,4,1.9,2.5,0.5,3.5,14.3,0,1,0,1.5,2,75,0.8,1,1.8,0.3,0.8,0.3,0.3,0.3,1,1.5,-1.5
Z. Collins , D. Vassell , T. Jones , M. Branham , J. Sochan,7,1.9,4,1.9,3.1,59.1,0.3,0.6,50,0,0,0,0.3,1,1.3,1,1.3,0.1,0.3,0.1,0.9,0,-0.9
Z. Collins , K. Johnson , S. Mamukelashvili , J. Champagnie , M. Branham,1,1.9,8,3,3,100,2,2,100,0,0,0,0,2,2,1,0,0,0,0,0,1,3
Z. Collins , T. Jones , J. Champagnie , M. Branham , J. Sochan,1,1.9,6,3,7,42.9,0,0,0,0,0,0,2,1,3,0,0,0,0,1,1,1,3
C. Osman , T. Jones , J. Champagnie , B. Wesley , D. Barlow,1,1.8,4,2,3,66.7,0,1,0,0,0,0,0,2,2,2,0,0,1,0,1,0,2
C. Osman , Z. Collins , D. Graham , D. Vassell , J. Sochan,1,1.8,2,1,4,25,0,1,0,0,0,0,0,3,3,1,0,0,1,0,1,1,0
C. Osman , Z. Collins , K. Johnson , T. Jones , J. Sochan,8,1.8,3.3,1.3,4.1,30.3,0.1,1.3,10,0.6,0.6,100,1.1,1.5,2.6,0.6,0.3,0,0.3,0.4,0.4,0.5,-1.1
D. McDermott , C. Osman , Z. Collins , K. Johnson , T. Jones,8,1.8,5,1.4,3.3,42.3,0.5,1.6,30.8,1.8,2,87.5,0.5,1.8,2.3,0.9,0.5,0.1,0,0.1,1.1,1.3,0.3
D. McDermott , C. Osman , Z. Collins , T. Jones , S. Mamukelashvili,1,1.8,2,1,3,33.3,0,2,0,0,0,0,0,2,2,0,1,0,0,0,1,0,-2
D. McDermott , D. Vassell , B. Wesley , J. Sochan , D. Barlow,1,1.8,4,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3
D. McDermott , K. Johnson , C. Bassey , D. Vassell , M. Branham,1,1.8,4,2,5,40,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,-3
D. McDermott , K. Johnson , C. Bassey , J. Champagnie , J. Sochan,1,1.8,7,3,6,50,1,2,50,0,0,0,2,5,7,3,1,0,2,0,0,0,7
D. McDermott , K. Johnson , D. Vassell , J. Sochan , V. Wembanyama,1,1.8,3,1,3,33.3,1,3,33.3,0,0,0,0,1,1,1,1,0,0,1,0,0,-1
D. McDermott , K. Johnson , J. Champagnie , M. Branham , V. Wembanyama,3,1.8,3,1,3.7,27.3,0,1.7,0,1,1.3,75,0.7,1,1.7,0.7,0,0,0.7,0,0.7,1,-2.7
D. McDermott , Z. Collins , K. Johnson , D. Vassell , V. Wembanyama,1,1.8,5,2,4,50,0,2,0,1,2,50,0,2,2,1,0,0,0,0,1,1,1
D. McDermott , Z. Collins , T. Jones , S. Mamukelashvili , J. Champagnie,1,1.8,7,3,5,60,1,3,33.3,0,0,0,1,0,1,2,1,0,0,0,0,0,-3
K. Johnson , J. Champagnie , M. Branham , J. Sochan , V. Wembanyama,3,1.8,3.3,1.3,4,33.3,0,0.7,0,0.7,0.7,100,0.7,1,1.7,0.7,0.7,0.7,1,0.7,0,1,1
Z. Collins , K. Johnson , T. Jones , J. Champagnie , J. Sochan,1,1.8,0,0,5,0,0,1,0,0,0,0,2,1,3,0,3,1,0,0,3,0,-7
Z. Collins , K. Johnson , T. Jones , J. Champagnie , V. Wembanyama,2,1.8,4.5,1.5,3.5,42.9,1,2.5,40,0.5,1,50,0.5,1.5,2,1.5,0.5,1,0,0,1,0.5,0
C. Osman , D. Vassell , T. Jones , M. Branham , V. Wembanyama,2,1.7,5,2,4,50,1,2,50,0,0,0,0,2.5,2.5,1.5,1,0,0.5,0.5,0,0,3
C. Osman , K. Johnson , D. Vassell , J. Champagnie , J. Sochan,1,1.7,3,1,2,50,1,1,100,0,0,0,0,0,0,1,1,0,0,0,2,0,-3
D. McDermott , C. Osman , K. Johnson , C. Bassey , T. Jones,2,1.7,3,1.5,4,37.5,0,1.5,0,0,0,0,0,1.5,1.5,0.5,0,0,0.5,0.5,2,0.5,-4
D. McDermott , C. Osman , T. Jones , B. Wesley , V. Wembanyama,1,1.7,4,2,3,66.7,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-4
D. McDermott , C. Osman , T. Jones , J. Champagnie , V. Wembanyama,2,1.7,4,1.5,3.5,42.9,1,3,33.3,0,0,0,0.5,1,1.5,1.5,0,0,1.5,0,1,1,-2
D. McDermott , C. Osman , Z. Collins , T. Jones , V. Wembanyama,2,1.7,3.5,1.5,2,75,0.5,1,50,0,0,0,0,1,1,1,0.5,0.5,0,0,0,0.5,-0.5
D. McDermott , Z. Collins , K. Johnson , T. Jones , J. Sochan,5,1.7,4.6,1.6,2.8,57.1,0.6,1.4,42.9,0.8,1,80,0,1.2,1.2,1,0,0.8,0.2,0,0.6,0.8,0.6
D. McDermott , Z. Collins , T. Jones , J. Champagnie , J. Sochan,2,1.7,5,2,2.5,80,1,1.5,66.7,0,0,0,0,0.5,0.5,1.5,0.5,0,0,0,1,0.5,-1.5
K. Johnson , C. Bassey , D. Vassell , T. Jones , J. Sochan,2,1.7,3.5,1,2.5,40,0.5,2,25,1,1,100,0,1.5,1.5,1,0,0,0.5,0,0,1,1.5
T. Jones , S. Mamukelashvili , J. Champagnie , M. Branham , D. Barlow,1,1.7,5,2,3,66.7,1,2,50,0,0,0,0,1,1,2,0,0,0,0,0,0,2
Z. Collins , T. Jones , J. Champagnie , J. Sochan , V. Wembanyama,1,1.7,4,2,4,50,0,2,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2
C. Osman , D. Vassell , T. Jones , J. Champagnie , D. Barlow,2,1.6,4.5,2,3,66.7,0,0.5,0,0.5,1,50,0,0.5,0.5,1,0.5,0,0,0,0,0.5,-1
C. Osman , D. Vassell , T. Jones , J. Sochan , V. Wembanyama,8,1.6,3.4,1.3,2.8,45.5,0.5,1.3,40,0.4,0.6,60,0.4,1.3,1.6,1,0.9,0,0.3,0.1,0.8,0.6,-0.5
C. Osman , K. Johnson , B. Wesley , J. Sochan , D. Barlow,1,1.6,6,2,4,50,2,3,66.7,0,0,0,0,1,1,2,0,0,2,0,1,0,-2
C. Osman , T. Jones , J. Champagnie , J. Sochan , V. Wembanyama,1,1.6,6,2,2,100,1,1,100,1,1,100,0,1,1,1,0,0,0,0,0,1,2
C. Osman , T. Jones , S. Mamukelashvili , M. Branham , V. Wembanyama,1,1.6,4,2,4,50,0,1,0,0,1,0,1,2,3,0,0,0,0,0,0,1,2
C. Osman , Z. Collins , K. Johnson , T. Jones , J. Champagnie,4,1.6,1.8,0.3,1.5,16.7,0,1,0,1.3,1.5,83.3,0,0.3,0.3,0.3,1,0.5,0.3,0.3,1.5,0.8,-2.8
D. McDermott , C. Bassey , T. Jones , M. Branham , V. Wembanyama,3,1.6,4,1.7,3.3,50,0.7,1.7,40,0,0,0,0,1,1,1.7,0,0.3,0,0.3,0.7,0.3,0
D. McDermott , S. Mamukelashvili , J. Champagnie , M. Branham , B. Wesley,2,1.6,0,0,2,0,0,1,0,0,0,0,0,2,2,0,1,0,1,0.5,0,0,-2.5
D. McDermott , Z. Collins , D. Vassell , J. Sochan , V. Wembanyama,4,1.6,1.8,0.8,2.5,30,0,0.5,0,0.3,0.5,50,0.3,1.8,2,0.3,1,0,0,0,0.5,0.8,-2
K. Johnson , T. Jones , J. Champagnie , J. Sochan , V. Wembanyama,2,1.6,2.5,1,2.5,40,0.5,1,50,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,-3
Z. Collins , S. Mamukelashvili , J. Champagnie , M. Branham , B. Wesley,2,1.6,5.5,1.5,3,50,0.5,0.5,100,2,2.5,80,1,0.5,1.5,1,0.5,0,0,0,0.5,1.5,3
Z. Collins , T. Jones , J. Champagnie , M. Branham , V. Wembanyama,1,1.6,5,2,2,100,0,0,0,1,2,50,0,0,0,2,0,1,0,0,0,1,-3
C. Bassey , D. Vassell , T. Jones , J. Champagnie , V. Wembanyama,1,1.5,0,0,3,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,-2
C. Osman , C. Bassey , J. Champagnie , M. Branham , V. Wembanyama,1,1.5,4,2,3,66.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-4
C. Osman , C. Bassey , T. Jones , J. Champagnie , V. Wembanyama,1,1.5,4,1,1,100,0,0,0,2,2,100,0,2,2,1,1,0,0,0,0,1,1
C. Osman , D. Vassell , M. Branham , J. Sochan , V. Wembanyama,2,1.5,1,0.5,1.5,33.3,0,0.5,0,0,0,0,0,0.5,0.5,0.5,2,0.5,0.5,0,0,0,-4.5
C. Osman , D. Vassell , T. Jones , B. Wesley , J. Sochan,1,1.5,3,1,3,33.3,1,2,50,0,0,0,1,0,1,1,0,1,0,0,0,2,-1
C. Osman , K. Johnson , D. Vassell , B. Wesley , V. Wembanyama,3,1.5,3,1.3,3,44.4,0.3,1.3,25,0,0,0,0,1,1,0.7,0.7,0.3,0,0.3,0.7,0,-2.7
C. Osman , M. Diakite , S. Mamukelashvili , M. Branham , B. Wesley,1,1.5,4,1,1,100,0,0,0,2,3,66.7,0,2,2,0,0,0,0,0,0,2,1
C. Osman , Z. Collins , D. Vassell , M. Branham , J. Sochan,8,1.5,2.4,0.9,2.5,35,0.3,0.9,28.6,0.4,0.8,50,0.6,0.5,1.1,0.8,0.8,0,0.3,0,0.6,0.8,-2.3
C. Osman , Z. Collins , D. Vassell , T. Jones , J. Sochan,7,1.5,2,0.7,2.3,31.3,0.3,1,28.6,0.3,0.7,40,0.1,1.4,1.6,0.6,0.7,0.3,0.1,0.1,1,0.6,-1.7
C. Osman , Z. Collins , T. Jones , J. Champagnie , V. Wembanyama,2,1.5,2,1,2.5,40,0,0.5,0,0,0,0,0,1.5,1.5,1,0,0.5,0,0,1,0.5,-0.5
D. McDermott , C. Osman , Z. Collins , D. Vassell , J. Sochan,3,1.5,3.7,1.7,2.7,62.5,0,0.7,0,0.3,0.3,100,0.3,0,0.3,1,0.3,0,0,0.3,0.3,0.7,-3.3
D. McDermott , C. Osman , Z. Collins , K. Johnson , D. Vassell,1,1.5,7,3,3,100,1,1,100,0,0,0,0,2,2,2,0,0,0,0,2,0,5
D. McDermott , K. Johnson , C. Bassey , T. Jones , V. Wembanyama,1,1.5,4,2,2,100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1
D. McDermott , Z. Collins , K. Johnson , T. Jones , M. Branham,2,1.5,5,2,3,66.7,1,1.5,66.7,0,1,0,0.5,2,2.5,1.5,0,0,0,0,1,0.5,2.5
K. Johnson , T. Jones , J. Champagnie , B. Wesley , J. Sochan,1,1.5,4,2,3,66.7,0,1,0,0,0,0,0,2,2,1,1,0,0,0,1,0,2
S. Mamukelashvili , J. Champagnie , M. Branham , J. Sochan , D. Barlow,1,1.5,4,2,3,66.7,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2
T. Jones , J. Champagnie , M. Branham , J. Sochan , V. Wembanyama,3,1.5,2.3,1,3,33.3,0,1.3,0,0.3,0.7,50,0.3,0.3,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.7,-2.3
Z. Collins , D. Vassell , J. Champagnie , B. Wesley , J. Sochan,6,1.5,3.8,1,2.8,35.3,0.3,1.3,25,1.5,1.5,100,0.5,1.3,1.8,0.8,0.2,0,0,0,0.2,0.7,0.2
C. Osman , J. Champagnie , M. Branham , J. Sochan , V. Wembanyama,1,1.4,2,0,2,0,0,2,0,2,2,100,1,0,1,0,1,0,0,0,1,2,-3
C. Osman , K. Johnson , J. Champagnie , M. Branham , D. Barlow,1,1.4,4,1,5,20,1,3,33.3,1,2,50,3,2,5,1,0,0,0,0,0,1,4
C. Osman , K. Johnson , J. Champagnie , M. Branham , J. Sochan,1,1.4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4
C. Osman , T. Jones , J. Champagnie , M. Branham , V. Wembanyama,2,1.4,3.5,1,2.5,40,0.5,2,25,1,1,100,0,0.5,0.5,0.5,0,0,0.5,0,0.5,1.5,-1.5
C. Osman , Z. Collins , D. Vassell , M. Branham , V. Wembanyama,1,1.4,2,1,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,-5
D. McDermott , C. Osman , Z. Collins , K. Johnson , M. Branham,3,1.4,2.3,1,2.3,42.9,0,0.7,0,0.3,0.3,100,0,0.3,0.3,0.3,0.3,0.3,0,0.3,0.7,0.3,-4.3
D. McDermott , Z. Collins , K. Johnson , J. Sochan , V. Wembanyama,4,1.4,4,1.8,3.3,53.8,0,1,0,0.5,0.8,66.7,0.8,1.3,2,1.3,0.5,0,0,0,0.8,0.5,2.3
D. McDermott , Z. Collins , T. Jones , M. Branham , V. Wembanyama,4,1.4,0.8,0.3,2.5,10,0.3,1.5,16.7,0,0,0,0.3,1,1.3,0.3,1.3,0.5,0.3,0.3,1,0.3,-2.5
