#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
161,Zach Collins,SAS,49,23.2,11.3,4.4,9.1,48.1,0.9,2.9,29.4,1.7,2.3,74.3,1.7,3.6,5.3,3.1,0.5,0.7,2,13.5
162,Matisse Thybulle,POR,57,23.2,5.3,1.9,4.9,38.4,1.2,3.6,33.3,0.3,0.4,79.2,0.4,1.5,2,1.3,1.8,0.7,0.6,7.4
163,Naz Reid,MIN,62,23,12.3,4.6,9.5,48.2,1.9,4.6,41,1.2,1.6,75,1,3.9,4.8,1.1,0.7,0.8,1.2,13.1
164,Nickeil Alexander-Walker,MIN,62,23,7.2,2.6,6.1,42.7,1.5,3.9,37.8,0.6,0.7,77.8,0.4,1.6,2,2.6,0.8,0.5,0.9,8.5
165,Cole Anthony,ORL,60,22.9,11.8,4.1,9.5,43.2,1.1,3.2,32.6,2.5,3.1,83.1,0.9,3.2,4,3.1,0.8,0.4,1.7,12.6
166,Reggie Jackson,DEN,61,22.8,10.4,4.1,9.2,44.9,1.2,3.4,35.4,0.9,1.1,77.6,0.4,1.6,2,3.9,0.6,0.1,1.3,10.3
167,Corey Kispert,WAS,59,22.7,12.2,4.4,9.2,47.9,2.1,5.6,36.3,1.3,1.7,76.7,0.3,2.2,2.5,1.7,0.4,0.2,1.2,10.7
168,Russell Westbrook,LAC,58,22.6,11.1,4.4,9.8,45.2,0.6,2.4,26.8,1.6,2.3,67.7,1.4,3.7,5.1,4.4,1.1,0.4,2,13.9
169,Precious Achiuwa,NYK,54,22.5,8.1,3.4,6.8,49.6,0.4,1.5,25.9,1,1.6,61.6,2.7,3.8,6.5,1.3,0.6,0.9,1.1,12.3
170,Jabari Walker,POR,56,22.2,8.4,3.1,6.7,46.7,0.5,1.9,26.4,1.7,2.2,76.6,2,4.4,6.5,0.9,0.6,0.4,0.9,11.7
171,Obi Toppin,IND,62,22.1,10.3,4.1,7.3,56,1.3,3.2,39.8,1,1.3,74.7,1.1,2.8,3.9,1.5,0.5,0.5,0.9,12.4
172,Kyle Anderson,MIN,60,22,6.2,2.4,5.2,46.9,0.1,0.6,21.6,1.3,1.8,71.7,0.8,2.8,3.5,4.1,0.8,0.5,1.3,10.7
173,Dyson Daniels,NOP,52,21.9,5.5,2.2,4.9,43.8,0.6,2.1,29.1,0.6,1,64,1,2.7,3.7,2.6,1.4,0.4,1,9.5
174,Pat Connaughton,MIL,56,21.4,5.4,1.9,4.2,45.6,1.1,3,37.3,0.5,0.6,72.2,0.6,2.6,3.2,1.9,0.6,0.3,0.6,8.2
175,David Roddy,PHX,53,21.4,7.7,3,7.4,40.3,0.9,3,30.2,0.9,1.3,68.7,1,2.8,3.8,1.4,0.5,0.2,1,7.8
176,Georges Niang,CLE,60,21.2,8.6,3.2,7.4,42.7,1.6,4.6,35,0.6,0.8,82.2,0.3,3.3,3.6,1.2,0.2,0.2,0.8,8.6
177,Marvin Bagley III,WAS,44,21.2,11.5,4.7,8.2,57.5,0.1,0.4,29.4,2,2.7,74.8,2.7,3.5,6.2,1.2,0.4,0.6,1.2,14.6
178,Sam Hauser,BOS,59,21.1,7.9,2.7,6.1,44.7,2.2,5.3,41.7,0.3,0.3,88.2,0.6,2.8,3.4,0.9,0.4,0.3,0.5,9
179,Haywood Highsmith,MIA,44,20.9,5.9,2.2,5,43.2,1.1,3,36.6,0.5,0.6,80.8,0.9,2,2.8,1,1,0.5,0.6,7.6
180,Payton Pritchard,BOS,60,20.6,8.2,3,6.7,44.3,1.7,4.5,38.3,0.5,0.6,81.1,0.9,2.3,3.2,2.7,0.5,0.1,0.7,10.1
181,Cason Wallace,OKC,61,20.5,6.7,2.6,5.1,50.3,1.2,2.8,41.3,0.4,0.5,79.3,0.6,1.6,2.3,1.4,0.8,0.4,0.4,8.5
182,Malaki Branham,SAS,56,20.5,8.5,3.4,7.9,43.2,1,3.2,32.6,0.6,0.7,94.7,0.4,1.7,2,2.2,0.4,0.1,1.1,7.6
183,Kelly Olynyk,TOR,59,20.4,8.3,2.9,5.4,54.2,0.7,1.7,39.8,1.7,2.1,84.4,1.3,3.7,4.9,4.2,0.9,0.3,1.6,14.2
184,Ziaire Williams,MEM,51,20.4,8.2,2.9,7.4,39.7,1.1,3.7,30.7,1.2,1.5,82.7,0.7,2.8,3.5,1.5,0.7,0.2,1.3,8.1
185,Alec Burks,NYK,52,20.3,11.8,3.6,9.4,38.1,2.2,5.5,39,2.5,2.9,88,0.4,2,2.4,1.5,0.4,0.2,0.8,9.4
186,Quentin Grimes,DET,49,20.2,7.1,2.4,6.4,38.2,1.7,4.7,35.1,0.6,0.8,73,0.3,1.7,2,1.2,0.7,0.1,0.5,6.4
187,Dean Wade,CLE,51,20.1,5.1,1.7,4.1,40.3,1.4,3.6,38.9,0.3,0.4,81,0.7,3.3,4,0.8,0.7,0.5,0.4,8.1
188,Trey Lyles,SAC,45,19.8,7.3,2.5,5.5,44.9,1.5,3.9,39.1,0.8,1.2,67.9,1,3.4,4.4,1.2,0.3,0.3,0.7,9.4
189,Jordan Hawkins,NOP,54,19.7,9.3,3.1,7.8,39.3,1.9,5.2,37.3,1.2,1.4,85.3,0.5,2.1,2.6,1.2,0.3,0.1,0.7,7.8
